kh:[(1)1
(2)2
(3)3
(4)4
(5)5
(6)6
]


s: 1
e: 15

maxt: 490
"por_Nodo":[
	(1, 2) [60 , 5]
	(1, 3) [12 , 5]
	(1, 4) [19.6 , 15]
	(1, 5) [20 , 6.5]
	(1, 6) [10 , 11]
	(2, 7) [44 , 7]
	(2, 8) [122 , 18.5]
	(3, 8) [20 , 10]
	(3, 4) [12 , 8.5]
	(5, 6) [116 , 20.5]
	(5, 4) [110 , 34]
	(5, 9) [20 , 10]
	(6, 10) [14 , 7.5]
	(6, 11) [122 , 19.2]
	(8, 4) [57.6 , 10]
	(8, 12) [8 , 10]
	(4, 9) [80 , 27]
	(4, 13) [20 , 15]
	(10, 14) [45.6 , 7.5]
	(10, 11) [30 , 6]
	(7, 12) [32 , 7]
	(7, 13) [88 , 15]
	(9, 13) [20 , 10]
	(9, 15) [8 , 37.5]
	(14, 16) [47 , 7.5]
	(14, 15) [88 , 22.5]
	(11, 16) [14 , 12]
	(12, 15) [20 , 25.5]
	(13, 15) [10 , 23]
	(13, 12) [120 , 15]
	(16, 15) [16 , 12]
]
